Study course,Semester,Module code,Name of course,Type,Lecturer WiSe 21/22,Format WiSe 20/21,Day/Time WS 21/22,Room WS 21/22,Further Information WS 21/22
MSE,1,none,Onboarding freshers,"extracurricular, voluntary",Mrs. E. Buksmann/student tutors,digital,Friday 16:00 - 17:15,moodle/webex,"further information: https://moodle.hochschule-rhein-waal.de/course/view.php?id=7086room: https://hsrw.info/onboardingfreshers"
MSE,1,2000,Introductory Mathematics,Lecture,Prof. Dr. W. Megill / Dr. T. Camps,digital,Monday 08:00 - 10:00,moodle/webex,further information on moodle/webex
MSE,1,2000,Introductory Mathematics,Exercise,Mrs. C. Neh,digital,"Monday 16:00 - 18:00 1st/2nd group biweeklyThursday 14:00 - 16:00 1st groupFriday 10:00 - 12:00 2nd group",moodle/webex,further information on moodle/webex
MSE,1,2000,Introductory Mathematics,Exercise,Dr. T. Camps,digital,"Monday 16:00 - 18:00 3rd groupFriday 10:00 - 12:00 3rd group biweekly kick off 08.10.21",moodle/webex,further information on moodle/webex
MSE,1,2008,Statics and Strength of Materials,Lecture,Prof. Dr.-Ing. H. Schütte,digital,,moodle/webex,further information on moodle/webex
MSE,1,2008,Statics and Strength of Materials,Exercise,Prof. Dr.-Ing. H. Schütte / Mr. A. Hinkle,digital,Friday 12:00 - 14:00,moodle/webex,further information on moodle/webex
MSE,1,2011,Programming,Lecture,Prof. Dr. M. Krauledat,digital,Tuesday 10:00 - 12:00,moodle/webex,further information on moodle/webex
MSE,1,2011,Programming,Practical Training,Prof. Dr. M. Krauledat / Dr. T. Camps,digital,"Monday 12:00 - 14:00 kick off 04.10.21Thursday 10:00 - 12:00 kick off 30.09.21",moodle/webex,further information on moodle/webex
MSE,1,2013,Business Economics,Lecture,Prof. Dr. D. Berndsen,digital,,moodle/webex,further information on moodle/webex
MSE,1,2013,Project Management,Lecture,Prof. Dr.-Ing. D. Untiedt,digital,Tuesday 12:00 - 14:00 biweekly kick off 28.09.21,moodle/webex,further information on moodle/webex
MSE,1,2013,Project Management,Practical Training,Mr. M. Schlösser / Mrs. C. Derksen,digital,Monday 10:00 - 12:00 4 groups biweekly,moodle/webex,further information on moodle/webex
MSE,1,2305,Fundamentals of Electrical Engineering,Lecture,Prof. Dr.-Ing. G. Gehnen,digital,Tuesday 08:00- 10:00,moodle/webex,further information on moodle/webex
MSE,1,2305,Fundamentals of Electrical Engineering,Exercise,Prof. Dr. A. Stamm,digital,Thursday 12:00 - 14:00 2 groups biweekly kick off 07.10.21,moodle/webex,further information on moodle/webex
MSE,1,2305,Fundamentals of Electrical Engineering,Practical Training,Prof. Dr. R. Hartanto / Mr. F. Kremer,in presence,Wednesday 10:00 - 18:00,05 EG 008,further information on moodle/webex
MSE,1,2900,Introduction to Engineering,Lecture,Prof. Dr.-Ing. T. Brandt,digital,Tuesday 14:00 - 16:00 last 7 weeks,moodle/webex,further information on moodle/webex
MSE,1,2900,"Introduction to Engineering: Part desriptive Statistics andReporting",Lecture,Prof. Dr. A. Struck,in presence,Wednesday 08:00 - 10:00 first 7 weeks,01 EG 010,further information on moodle/webex
MSE,1,2900,"Introduction to Engineering: Part Basics of Communication& Selfmanagement",Seminar,Mrs. A. Viermann,digital,"Monday 14:00 - 16:00 2 groups: 1st half/2nd half of semesterThursday 08:00 - 10:00 2 groups: 1st half/2nd half of semesterkick off 27.09.21 14:00 - 16:00",moodle/webex,group organization in moodle / webex
MSE,3,2010,Dynamics,L/E,Prof. Dr. N. Østergaard,digital,Monday 15:00 - 16:00,moodle/webex,further information on moodle/webex
MSE,3,2010,Dynamics,L/E,Prof. Dr. N. Østergaard,in presence,Wednesday 08.00 - 10:00,2A EG 002,further information on moodle/webex
MSE,3,2108,Materials and Testing,Lecture,Prof. Dr.-Ing. R. Sicking,digital,Monday 10:00 - 12:00,moodle/webex,further information on moodle/webex
MSE,3,2108,Materials and Testing,Exercise,Prof. Dr.-Ing. R. Sicking,digital,Tuesday 14:00 - 16:00 2 groups biweekly,moodle/webex,further information on moodle/webex
MSE,3,2108,Materials and Testing,Practical Training,Prof. Dr.-Ing. R. Sicking / Dr. T. Krenzel,in presence,Wednesday 12:00 - 14:00,05 03 029,further information on moodle/webex
MSE,3,2108,Materials and Testing,Practical Training,Prof. Dr.-Ing. R. Sicking / Dr. T. Krenzel,digital,Thursday 12:00 - 14:00,moodle/webex,further information on moodle/webex
MSE,3,2306,Microcontroller,Practical Training,Mr. P. Stawicki / Mr. T. Grunenberg,digital,"Thursday 10:00 - 12:00Friday 08:00 - 10:00Friday 12:00 - 16:00",moodle/webex,further information on moodle/webex
MSE,3,2306,Microcontroller,Lecture,Prof. Dr. I. Volosyak,digital,Tuesday 08:00 -10:00,moodle/webex,further information on moodle/webex
MSE,3,2705,Engineering Design,Lecture,Prof. Dr.-Ing. P. Kisters,digital,Thursday 08:00 - 10:00,moodle/webex,further information on moodle/webex
MSE,3,2705,Engineering Design,Exercise,Mr. K. Schacky / Mr. M. Schlösser,digital,Thursday 14:00 - 16:00,moodle/webex,further information on moodle/webex
MSE,3,2705,Engineering Design,Exercise,Mr. K. Schacky,in presence,Wednesday 10:00 - 12:00,01 02 006,further information on moodle/webex
MSE,3,2708,Thermodynamics,Lecture,Prof. Dr.-Ing. J. Gebel,digital,Monday 08:00 - 10:00,moodle/webex,further information on moodle/webex
MSE,3,2708,Thermodynamics,Exercise,Prof. Dr.-Ing. J. Gebel,digital,Monday 16:00 - 18:00,moodle/webex,further information on moodle/webex
MSE,3,2708,Thermodynamics,Practical Training,Prof. Dr.-Ing. J. Gebel / Dr. N. Mockus,digital,,moodle/webex,further information on moodle/webex
MSE,3,2901,Drives & Power Electronics,Lecture,Mr. M. Hellwig,digital,Tuesday 12:00 - 14:00,moodle/webex,further information on moodle/webex
MSE,3,2901,Drives & Power Electronics,Exercise,Mr. M. Hellwig / Mr. Ö. Egici,digital,Tuesday 16:00 - 18:00,moodle/webex,further information on moodle/webex
MSE,5,2014,Cross Cultural Management,Exercise,Mrs. A. Viermann,digital,"Tuesday 09:00 - 12:00Wednesday 14:00 - 17:00",moodle/webex,further information on moodle/webex
MSE,5,2014,Cross Cultural Management,Lecture,Mrs. A. Viermann,digital,"Tuesday 09:00 - 12:00Wednesday 14:00 - 17:00",moodle/webex,further information on moodle/webex
MSE,5,2014,Creativity,Lecture,Mr. D. Ziegler,digital,Wednesday 08:00 - 10:00 2 groups biweekly,moodle/webex,further information on moodle/webex
MSE,5,2014,Creativity,Exercise,Mr. D. Ziegler,digital,Wednesday 08:00 - 10:00 2 groups biweekly,moodle/webex,further information on moodle/webex
MSE,5,2015,Group Project,Project,Prof. Dr.-Ing. D. Untiedt (Coordination),digital,Tuesday 14:00 - 16:00,moodle/webex,further information on moodle/webex
MSE,5,2308,"Signal Transmission(Focus Field Applied Mechatronics EL focus)",Lecture,Dr. C. Budelmann,digital,Friday 10:00 - 12:00 kick off 01.10.21,moodle/webex,further information on moodle/webex
MSE,5,2308,"Signal Transmission(Focus Field Applied Mechatronics EL focus)",Exercise,Dr. C. Budelmann,digital,Friday 12:00 - 14:00 biweekly kick off 08.10.21,moodle/webex,further information on moodle/webex
MSE,5,2308,"Signal Transmission(Focus Field Applied Mechatronics EL focus)",Practical Training,Mr. F. Kremer,digital,Tuesday 16:00 - 18:00 biweekly kick off 12.10.21,moodle/webex,further information on moodle/webex
MSE,5,2309,"Object oriented Programming(Focus Field Simulation in Mechatronics)",Practical Training,Mrs. R. Wolff,digital,"Tuesday 12:00 - 14:00Wednesday 10:00 - 12:00",moodle/webex,further information on moodle/webex
MSE,5,2309,"Object oriented Programming(Focus Field Simulation in Mechatronics)",Lecture,Prof. Dr. R. Hartanto,digital,Thursday 10:00 - 12:00,moodle/webex,further information on moodle/webex
MSE,5,2314,"Practical Electronics(Focus Field Applied Mechatronics EL Focus)",Lecture,Prof. Dr. A. Stamm,digital,Thursday 10:00 - 12:00,moodle/webex,further information on moodle/webex
MSE,5,2314,"Practical Electronics(Focus Field Applied Mechatronics EL Focus)",Exercise,Prof. Dr. R. Hartanto / Mr. F. Kremer,digital,Thursday 16:00 - 18:00,moodle/webex,further information on moodle/webex
MSE,5,2314,"Practical Electronics(Focus Field Applied Mechatronics EL Focus)",Practical Training,Prof. Dr. R. Hartanto / Mr. F. Kremer,in presence,Monday 14:00 - 18:00 kick off 04.10.21,05 01 026,further information on moodle/webex
MSE,5,2725,"Bioinspiration(Focus Field Bionics)",Lecture,Prof. Dr. L. Chambers,digital,Friday 14:00 - 17:00,moodle/webex,further information on moodle/webex
MSE,5,2725,"Bioinspiration(Focus Field Bionics)",Exercise,Prof. Dr. L. Chambers / Mrs. M. Dytkowicz,digital,Friday 14:00 - 17:00,moodle/webex,further information on moodle/webex
MSE,5,2726,"Bionic Design(Focus Field Bionics)",Project,Mr. R. Grichnik,digital,Friday 10:00 - 12:00,moodle/webex,further information on moodle/webex
MSE,5,2726,"Bionic Design(Focus Field Bionics)",Lecture,Prof. Dr. L. Chambers / Prof. Dr. W. Megill,digital,Thursday 10:00 - 12:00,moodle/webex,further information on moodle/webex
MSE,5,2903,Controls,Lecture,Prof. Dr.-Ing. D. Nissing,digital,,moodle/webex,further information on moodle/webex
MSE,5,2903,Controls,Exercise,Prof. Dr.-Ing. D. Nissing,in presence,Monday 12:00 - 14:00 biweekkly kick off 04.10.21,08 EG 005,further information on moodle/webex
MSE,5,2903,Controls,Exercise,Mr. M. Titze,digital,Thursday 08:00 - 10:00,moodle/webex,further information on moodle/webex
MSE,5,2903,Controls,Practical Training,Mr. M. Titze / Mr. A. Viswanathan,in presence,Monday 08:00 - 12:00 kick off 04.10.21,06 01 018,further information on moodle/webex
MSE,5,2905,"Finite Element Method(Focus Field Simulation in Mechatronics)",Lecture,Prof. Dr.-Ing. H. Schütte,digital,Friday 08:00 - 10:00,moodle/webex,further information on moodle/webex
MSE,5,2905,"Finite Element Method(Focus Field Simulation in Mechatronics)",Exercise,Prof. Dr.-Ing. H. Schütte,digital,Friday 10:00 - 12:00,moodle/webex,further information on moodle/webex
MSE,5,2907,Sensors & Actuator Networks,Lecture,Dr. C. Budelmann,digital,Friday 12:00 - 14:00 biweekly kick off 08.10.21,moodle/webex,further information on moodle/webex
MSE,5,2907,Sensors & Actuator Networks,Exercise,Dr. C. Budelmann,digital,Friday 12:00 - 14:00 biweekly kick off 15.10.21,moodle/webex,further information on moodle/webex
MSE,5,2907,Sensors & Actuator Networks,Practical Training,Dr. C. Budelmann,digital,Friday 12:00 - 14:00 biweekly kick off 15.10.21,moodle/webex,further information on moodle/webex
MSE,5,2910,"Robotics(Focus Field Applied Mechatronics ME Focus)",Lecture,Prof. Dr.-Ing. T. Brandt,digital,Wednesday 10:00 - 12:00,moodle/webex,further information on moodle/webex
MSE,5,2910,"Robotics(Focus Field Applied Mechatronics ME Focus)",Exercise,Prof. Dr.-Ing. T. Brandt,digital,Wednesday 12:00 - 14:00,moodle/webex,further information on moodle/webex
MSE,7,2510,Technology and Innovation Management,Lecture,Prof. Dr.-Ing. D. Untiedt,digital,Monday 08:00 - 12:00 last 7 weeks,moodle/webex,further information on moodle/webex
MSE,7,2510,Technology and Innovation Management,Practical Training,Mr. L. Schröer,digital,Tuesday 12:00 - 16:00 last 7 weeks,moodle/webex,further information on moodle/webex
MSE,7,2512,Entrepreneurship,Project,Prof. Dr.-Ing. D. Untiedt / Mr. C. Berendonk,digital,Monday 08:00 - 12:00 first 7 weeks,moodle/webex,further information on moodle/webex
MSE,7,2911,"Introduction to Scientific Methods inMechatronics_Attestation",2911,Mrs. K. Kaminski,digital,Wednesday 18:00 - 20:00 kick off 27.09.21 (Monday),moodle/webex,further information on moodle/webex
